,unit,plant,company,mw,status,year,utype,fuel,fueltype,altfuel,sssmfr,boiltype,turbmfr,turbtype,genmfr,gentype,sflow,spress,stype,stemp,reheat1,reheat2,partctl,partmfr,so2ctl,fgdmfr,noxctl,noxmfr,ae,construct,cool,retire,city,state,country,area,subregion,postcode,parent,electype,bustype,compid,locationid,unitid,retirement_age,mw_from,mw_to,fuel_id,fueltype_adj,utype_adj,status_adj,current_age,year_adj,current_age_adj,retirement_age_adj,sim_lifetime,median_lifetime,age_rank,age_obs,age_percentile,retire_adj,retire_exp,retire_sim,lifetime_final,unique_id,em_fact,heat_rate,gen_eff,max_cap,max_em
6740,HANCHENG BLACK CAT 1,HANCHENG BLACK CAT,HANCHENG BLACK CAT CARBON,50.0,OPR,,ST,COAL,.,,,,,,,,,,SUBCR,,,,,,,,,,,NEPCC4,,,Hancheng City,Shaanxi,CHINA,ASIA,ASIA,,HANCHENG BLACK CAT CARBON,A,COMM: MISC AUTOPROD,1036993,1077088,1217671,,0,400,COAL+.,.,ST,Operating,,2005.0,11.0,,4.0,2.0,1924.5,7012.0,27.4458065033,2018.0,2007.0,2009.0,13.0,COAL+.+SUBCR+0-400,215.3,9550.15917969,0.933491766453,438000000.0,408869.40625
23528,IQNESA PLANT IC 2,IQNESA PLANT,INDUSTRIAL QUIMICA DEL NALON,1.70000004768,OPR,,IC/H,COG,.,,N/A,N/A,JENBACH,JMS620GSSN,,,,,.,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,33900 Sama de Langreo,Asturias,SPAIN,EUROPE,EU,,INDUSTRIAL QUIMICA DEL NALON,A,MFG: METALS & MINING,1033038,1067794,1200373,,0,400,COG+.,.,IC,Operating,,2000.0,16.0,,6.0,5.0,1.5,23.0,6.52173900604,2016.0,2005.0,2006.0,16.0,.,103.2,10558.6542969,0.494702517986,14892000.0,7367.10986328
23614,POPLAR CREEK 2,POPLAR CREEK,TRANSALTA COGENERATION LP,32.5,RET,1967.0,ST/S,COKE,.,NONE,FW/CE,CYCLONE,GE,BP,GE,,,55.0,SUBCR,399.0,,,,,WLST,CHIYODA,,,,,,,Fort McMurray,AB,CANADA,N AMERICA,WECC,T9H 3E3,TRANSALTA CORP,P,ENERGY: OPER SVCS (UNREG),33838,33928,20938,,0,400,COKE+.,.,ST,Retired,,1967.0,,,33.0,36.0,,,,2000.0,2003.0,2000.0,33.0,.,226.7,10830.7099609,1.11471617222,284700000.0,317359.6875
23706,MMASHORO SUBSTATION GT 3,MMASHORO SUBSTATION,KALAHARI ENERGY,45.0,PLN,,GT,CSGAS,.,,N/A,N/A,GE,,,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,Mmashoro,Central,BOTSWANA,AFRICA,AFRICA,,KALAHARI ENERGY,P,SVCS: PRIV PWR DEV/PROD,1038096,1079603,1222117,,0,400,CSGAS+.,.,GT,Planned,,2020.0,,,33.0,34.0,,,,2053.0,2054.36523438,2053.36523438,33.0,.,116.9,11302.0,0.599826514721,394200000.0,236451.609375
23794,SANTA BARBARA LEVANTE 1,SANTA BARBARA LEVANTE,ENEL SPA,300.0,CAN,,ST,CWM,.,GAS/OIL,,,,,,,,,.,,,,,,,,,,,,,,Arezzo (AR),.,ITALY,EUROPE,EU,,ENEL SPA,U,UTIL: GOVT,1002300,1016159,1145722,,0,400,CWM+.,.,ST,Cancelled,,1982.0,,,21.0,19.0,,,,2003.0,2001.0,2003.0,21.0,.,215.1,10707.8115234,1.04567563534,2628000000.0,2748035.5
23800,LUOJING WORKS CC 2,LUOJING WORKS,BAOSTEEL GROUP CORP,170.0,OPR,2010.0,CCSS,CXGAS,.,,HANGZHOU,HRSG,GE,9001E,GE,,,90.0,SUBCR,540.0,,,N/A,N/A,N/A,N/A,,,GE/CISD,,,,Luojing - Baoshan Dist,Shanghai,CHINA,ASIA,ASIA,,BAOSTEEL GROUP CORP,A,MFG: METALS & MINING,1007914,1064805,1216884,,0,400,CXGAS+.,.,CC,Operating,6.0,2010.0,6.0,,30.0,34.0,1.0,2.0,50.0,2040.0,2044.0,2040.0,30.0,.,158.9,7924.14013672,0.571652233601,1489200000.0,851304.5
23802,UPPSALA WWTP IC 1,UPPSALA WWTP,UPPSALA KOMMUN,0.620000004768,OPR,1993.0,IC/H,DGAS,.,NONE,N/A,N/A,JENBACH,JMS316GSBL,,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,Uppsala,Uppsala,SWEDEN,EUROPE,EU,,UPPSALA KOMMUN,A,GOVT: REG,1029963,1034882,1155035,,0,400,DGAS+.,.,IC,Operating,23.0,1993.0,23.0,,21.0,14.0,596.0,839.0,71.0369491577,2023.0,2007.0,2014.0,30.0,.,0.0,10789.8144531,0.0,5431200.0,0.0
24835,ACRES DONEGAL IC 1,ACRES DONEGAL,ACRES IRELAND,9.0,PLN,,IC,DME,.,,N/A,N/A,,,,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,.,County Donegal,IRELAND,EUROPE,EU,,ACRES IRELAND,P,SVCS: PRIV PWR DEV/PROD,1038144,1079766,1222364,,0,400,DME+.,.,IC,Planned,,2020.0,,,35.0,34.0,,,,2055.0,2054.66625977,2055.66625977,35.0,.,150.8,9728.53808594,0.666046857834,78840000.0,52511.1328125
24837,JUIZ DE FORA GT 1,JUIZ DE FORA,PETROBRAS,45.0,OPR,2001.0,GT,ETHANOL,.,GAS,N/A,N/A,GE,LM6000,GE,,,,.,,,,N/A,N/A,N/A,N/A,,,CAT-LEO,CAT-LEO,N/A,,Juiz de Fora,MG,BRAZIL,LATIN,S AMERICA,36770-901,PETROBRAS,A,FUELS: GAS AND OIL,1005171,1050808,1175040,,0,400,ETHANOL+.,.,GT,Operating,15.0,2001.0,15.0,,5.0,6.0,1.0,1.0,100.0,2026.0,2007.0,2006.0,25.0,.,150.8,14326.0205078,0.98080521822,394200000.0,386633.40625
24840,VERKH-TARSKOYE FIELD-2 IC 1,VERKH-TARSKOYE FIELD,NOVOSIBIRSKNEFTEGAZ,1.10000002384,OPR,2007.0,IC,FGAS,.,,N/A,N/A,WAUKESHA,VHP9500GSI,BAYLOR,,,,.,,,,N/A,N/A,N/A,N/A,,,ENRGOTEH,ENRGOTEH,N/A,,.,Novosibirsk Oblast,RUSSIA,CIS,CIS,,TNK-BP HOLDING,A,FUELS: GAS,1035566,1073646,1218476,,0,400,FGAS+.,.,IC,Operating,9.0,2007.0,9.0,,1.0,0.0,114.5,162.0,70.6790161133,2023.0,2007.0,2008.0,16.0,.,120.6,10212.0380859,0.559133589268,9636000.0,5387.81103516
25136,PAKA YTL-1 GT 2,PAKA YTL,YTL CORPORATION SDN BHD,137.0,OPR,1994.0,GT/C,GAS,.,NONE,N/A,N/A,SIEMENS,V94.2,SIEMENS,,,,.,,,,N/A,N/A,N/A,N/A,HYBRID,SIEMENS,SIEMENS,SYARIKAT,N/A,,Paka,Terengganu,MALAYSIA,ASIA,ASIA,,YTL CORPORATION SDN BHD,P,SVCS: PRIV PWR DEV/PROD,1007139,1033688,1138490,,0,400,GAS+.,.,GT,Operating,22.0,1994.0,22.0,,31.0,36.0,8557.5,12080.0,70.8402328491,2025.0,2030.0,2025.0,31.0,GAS+GT,130.4,14342.9254544,0.849124133587,1200120064.0,1019050.9375
61193,OLKARIA WELLHEAD OLK-03 NO 2,OLKARIA WELLHEAD,KENYA ELECTRICITY GEN CO LTD,3.20000004768,OPR,2014.0,ST,GEO,.,NONE,N/A,N/A,MAXWATT,,TDPS,,,,SUBCR,,,,N/A,N/A,N/A,N/A,N/A,N/A,GEG-AS,GEG-AS,MDT,,Naivasha,Rift Valley,KENYA,AFRICA,AFRICA,,KENYA ELECTRICITY GEN CO LTD,U,UTIL: GOVT,1018055,1084748,1262698,,0,400,GEO+.,.,ST,Operating,2.0,2014.0,2.0,,35.0,34.0,32.0,385.0,8.31168842316,2049.0,2048.0,2049.0,35.0,.,16.9,9718.07128906,0.0745628774166,28032000.0,2090.14648438
62196,LAPPEENRANNAN 1,LAPPEENRANNAN,FC POWER OY,3.79999995232,OPR,,ST,H2,.,,,,,,,,,61.0,SUBCR,515.0,,,N/A,N/A,N/A,N/A,,,,,,,Lappeenranta,South Karelia,FINLAND,EUROPE,EU,,LEPPAKOSKEN SAHKO/KEMIRA CHEM,P,SVCS: PRIV PWR DEV/PROD,1049635,1109175,1270938,,0,400,H2+.,.,ST,Operating,,1990.0,26.0,,20.0,17.0,1.0,1.0,100.0,2026.0,2007.0,2010.0,36.0,.,0.6,10621.8896484,0.00289340270683,33288000.0,96.3155899048
62230,DANZIGER STRASSE GT 2,DANZIGER STRASSE,EVO - ENERGIEVERSOR OBERHAUSEN,50.0,RET,1974.0,GT,HELIUM,.,,N/A,N/A,,,,,,,.,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,1982.0,Oberhausen,NW,GERMANY,EUROPE,EU,,EVO - ENERGIEVERSOR OBERHAUSEN,U,UTIL: GOVT,1009584,1016400,1274360,8.0,0,400,HELIUM+.,.,GT,Retired,,1974.0,,8.0,8.0,32.0,,,,1982.0,2006.0,1982.0,8.0,.,158.9,13904.7519531,1.00309717655,438000000.0,439356.5625
62231,BRUNSBUTTEL SAVA 1,BRUNSBUTTEL SAVA,SAVA GMBH,4.30999994278,OPR,1995.0,ST/S,HZDWST,.,,NOELL,ROTARY,B+V,KER40/80,,,,39.0,SUBCR,320.0,,,,,,,,,,,,,Brunsbuttel,SH,GERMANY,EUROPE,EU,25541,SAVA GMBH,A,SVCS: MUNI WTE,1024527,1049415,1173232,,0,400,HZDWST+.,.,ST,Operating,21.0,1995.0,21.0,,17.0,14.0,1.0,1.0,100.0,2026.0,2009.0,2012.0,31.0,.,91.9,10500.5878906,0.438111841679,37755600.0,16541.1757812
62232,ST-CLAIR-DU-RHONE 1,ST-CLAIR-DU-RHONE,NOVARTIS AG,3.59999990463,OPR,1966.0,ST/S,INDWST,.,NONE,,,,,,,,35.0,SUBCR,400.0,,,,,,,,,,,,,St-Clair-du-Rhone,Isere,FRANCE,EUROPE,EU,,NOVARTIS AG,A,MFG: CHEMICALS,1008744,1027466,1149670,,0,400,INDWST+.,.,ST,Operating,50.0,1966.0,50.0,,27.0,34.0,4.0,4.0,100.0,2026.0,2000.0,1993.0,60.0,.,332.6,10866.5927734,1.6408598423,31536000.0,51746.15625
62238,SOUTH MEADOW GT 11,SOUTH MEADOW JET,CT RESOURCES RECOVERY AUTH,41.9000015259,OPR,1970.0,GT,JET,.,KERO,N/A,N/A,PW,FT4A9,EMC,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,Hartford,CT,USA,N AMERICA,NPCC,6114,CT RESOURCES RECOVERY AUTH,P,GOVT: REG-STATE,55223,57987,19933,,0,400,JET+.,.,GT,Operating,46.0,1970.0,46.0,,41.0,37.0,6.5,14.0,46.4285697937,2020.0,2007.0,2011.0,50.0,.,166.3,14121.2675781,1.0661585331,367044000.0,391327.09375
62270,NARROWS BROOKLYN GT 2-2,NARROWS BROOKLYN,EASTERN GENERATION LLC,24.6000003815,OPR,1972.0,GT,KERO,.,GAS,N/A,N/A,GE,5001NPB,GE,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,Brooklyn,NY,USA,N AMERICA,NPCC,11232,ARCLIGHT ENERGY PARTNERS,P,SVCS: PRIV PWR DEV/PROD,34332,17351,14489,,0,400,KERO+.,.,GT,Operating,44.0,1972.0,44.0,,29.0,32.0,79.5,143.0,55.5944061279,2021.0,2004.0,2001.0,49.0,.,167.2,13962.9667969,1.05991208553,215496000.0,228406.8125
62602,SENECA MEADOWS LF IC 29,SENECA MEADOWS LF,ARIA ENERGY,0.800000011921,OPR,2011.0,IC,LGAS,.,NONE,N/A,N/A,CAT,G3520,CAT,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,Waterloo,NY,USA,N AMERICA,NPCC,13165,ARES MANAGEMENT LP,P,SVCS: PRIV PWR DEV/PROD,5484,23124,39786,,0,400,LGAS+.,.,IC,Operating,5.0,2011.0,5.0,,16.0,15.0,390.5,3239.0,12.0561904907,2027.0,2026.0,2027.0,16.0,.,114.7,10101.2021484,0.526008009911,7008000.0,3686.26416016
66421,CRESCENTINO ETHANOL 1,CRESCENTINO ETHANOL,CHEMTEX,15.0,OPR,2013.0,ST/S,LIGNIN,.,,,,FINCAN,,INDAR,10KV,,,SUBCR,,,,,,,,,,,,,,Crescentino (VC),.,ITALY,EUROPE,EU,,CHEMTEX,A,COMM: MISC AUTOPROD,1041094,1106837,1267198,,0,400,LIGNIN+.,.,ST,Operating,3.0,2013.0,3.0,,42.0,34.0,1.0,1.0,100.0,2055.0,2047.0,2055.0,42.0,.,206.7,9712.17773438,0.911408245564,131400000.0,119759.046875
66422,GIBSON ISLAND MILL 1,GIBSON ISLAND MILL,VISY INDUSTRIES HOLDINGS PTY,2.0,OPR,1997.0,ST/S,LIQ,.,,EPI/NEI,ACFB,,,,,13.8999996185,42.0,SUBCR,,,,,,ACFB,N/A,,,,,,,Gibson Island,QLD,AUSTRALIA,ANZ-OCEANIA,ANZAC,4172,VISY INDUSTRIES HOLDINGS PTY,A,MFG: PULP & PAPER,1024143,1060517,1189489,,0,400,LIQ+.,.,ST,Operating,19.0,1997.0,19.0,,8.0,10.0,66.5,230.0,28.9130439758,2018.0,2007.0,2005.0,21.0,.,221.6,10174.2275391,1.02359235287,17520000.0,17933.3378906
66713,YULARA IC 07,YULARA,TERRITORY GENERATION,1.10000002384,OPR,1989.0,IC,LNG,.,OIL,N/A,N/A,,,,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,.,NT,AUSTRALIA,ANZ-OCEANIA,ANZAC,,TERRITORY GENERATION,U,UTIL: GOVT,1049420,1024458,1158782,,0,400,LNG+.,.,IC,Operating,27.0,1989.0,27.0,,16.0,17.0,68.5,75.0,91.3333358765,2025.0,2006.0,2005.0,36.0,.,0.0,10932.9863281,0.0,9636000.0,0.0
67596,TEMA UNILEVER GT 1,TEMA UNILEVER,UNILEVER GHANA LTD,5.19999980927,OPR,2012.0,GT,LPG,.,,N/A,N/A,ALLISON,KB7C,,,,,.,,,,N/A,N/A,N/A,N/A,,,GENSER,GENSER,N/A,,Tema,Greater Accra,GHANA,AFRICA,AFRICA,,UNILEVER PLC,A,MFG: EQUIPMENT,1043143,1092548,1244426,,0,400,LPG+.,.,GT,Operating,4.0,2012.0,4.0,,25.0,34.0,11.5,63.0,18.2539691925,2037.0,2046.0,2037.0,25.0,.,146.7,11796.4951172,0.785667836666,45552000.0,35788.7421875
67897,GREEN MEADOW FARMS-1 NO 1,GREEN MEADOW FARMS-1,GREEN MEADOW FARMS,0.219999998808,OPR,1984.0,ST,MANURE,.,NONE,,,,,,,,,SUBCR,,,,N/A,N/A,N/A,N/A,,,,,,,Elsie,MI,USA,N AMERICA,RFC,48831,GREEN MEADOW FARMS,P,COMM: AGRICULTURE,4065,21419,8183,,0,400,MANURE+.,.,ST,Operating,32.0,1984.0,32.0,,18.0,22.0,1.0,1.0,100.0,2026.0,2006.0,2002.0,42.0,.,91.9,10624.6308594,0.443287223577,1927200.0,854.303161621
67899,WIDNES PLANT 2,WIDNES PLANT,PDM GROUP LTD,3.0,OPR,2005.0,ST/S,MBM,.,,WYKES,ACFB,KKK,,AEM,,,,SUBCR,,,,,,ACFB,N/A,,,WYKES,WYKES,,,Widnes,Cheshire,ENGLAND & WALES,EUROPE,EU,WA8 0PB,SARIA,P,MFG: FOOD PRODUCTS,1032603,1066954,1199417,,0,400,MBM+.,.,ST,Operating,11.0,2005.0,11.0,,4.0,2.0,1.0,4.0,25.0,2018.0,2007.0,2009.0,13.0,.,91.9,9787.26464844,0.408350139856,26280000.0,10731.4414062
67904,BOURNEMOUTH HOSPITAL 1,BOURNEMOUTH HOSPITAL,ROYAL BOURNEMOUTH HOSPITAL,0.5,OPR,1995.0,ST,MEDWST,.,,,,PETER,,,,,26.0,SUBCR,270.0,,,,,,,,,WRE,WRE,,,Bournemouth,Dorset,ENGLAND & WALES,EUROPE,EU,,ROYAL BOURNEMOUTH HOSPITAL,A,COMM: HOSPITAL,1014540,1027589,1106791,,0,400,MEDWST+.,.,ST,Operating,21.0,1995.0,21.0,,13.0,14.0,1.0,1.0,100.0,2026.0,2009.0,2008.0,31.0,.,91.9,10500.5878906,0.438111841679,4380000.0,1918.92980957
67905,EILAT GT 3,EILAT,ISRAEL ELECTRIC CORP,50.0,OPR,1980.0,GT,METHANOL,.,,N/A,N/A,,,,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,Eliat,HaDarom,ISRAEL,MIDEAST,MIDEAST,,ISRAEL ELECTRIC CORP,U,UTIL: GOVT,1003567,1019852,1171777,,0,400,METHANOL+.,.,GT,Operating,36.0,1980.0,36.0,,17.0,26.0,1.0,1.0,100.0,2026.0,2006.0,1997.0,46.0,.,158.9,13924.2939453,1.00450694561,438000000.0,439974.03125
67906,FURONG CMG IC 1,FURONG CMG,SICHUAN COAL CO,3.04800009727,OPR,2009.0,IC/H,MGAS,.,NONE,N/A,N/A,JENBACH,,,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,Gongxian County,Sichuan,CHINA,ASIA,ASIA,,SICHUAN COAL CO,P,FUELS: COAL,1036679,1076487,1216697,,0,400,MGAS+.,.,IC,Operating,7.0,2009.0,7.0,,37.0,34.0,37.5,336.0,11.1607141495,2046.0,2043.0,2046.0,37.0,.,118.8,10140.9013672,0.546951532364,26700480.0,14603.8681641
68315,ISTANBUL BESLER GT 2,ISTANBUL BESLER,BESLER GIDA,5.0,OPR,2000.0,GT/S,NAP,.,LPG,N/A,N/A,SOLAR/TT,TAURUS 60,,,,,.,,,,N/A,N/A,N/A,N/A,,,TUMA,TUMA,N/A,,Pendik,Istanbul,TURKEY,MIDEAST,MIDEAST,,BESLER GIDA,A,MFG: FOOD PRODUCTS,1022985,1046090,1168587,,0,400,NAP+.,.,GT,Operating,16.0,2000.0,16.0,,3.0,5.0,20.0,79.0,25.3164558411,2018.0,2005.0,2003.0,18.0,.,170.4,14112.3154297,1.09175133705,43800000.0,47818.7070312
68423,GREEN DUBA ISCC GT 1,GREEN DUBA,SAUDI ELECTRICITY CO,225.0,CON,2017.0,GT/C,NGL,.,,N/A,N/A,GE,7F.05,GE,,,,.,,,,N/A,N/A,N/A,N/A,,,INITEC,SSEM,N/A,,Duba,Tabuk,SAUDI ARABIA,MIDEAST,MIDEAST,,SAUDI ELECTRICITY CO,U,UTIL: GOVT,1002841,1106169,1257397,,0,400,NGL+.,.,GT,Under Construction,,2017.0,,,45.0,34.0,,,,2062.0,2051.0,2062.0,45.0,.,149.3,13434.71875,0.910634815693,1971000064.0,1794861.25
68424,JAZAN IGCC-3 GT 1,JAZAN IGCC,SAUDI ARAMCO,250.0,CON,2018.0,GT/CP,OGAS,.,,N/A,N/A,SIEMENS,SGT6-5000F,SIEMENS,,,,.,,,,N/A,N/A,N/A,N/A,,,SEPCO,SEPCO,N/A,,Jazan City,Jizan,SAUDI ARABIA,MIDEAST,MIDEAST,,SAUDI ARAMCO,A,FUELS: REFINERY,1000314,1094787,1254445,,0,400,OGAS+.,.,GT,Under Construction,,2018.0,,,34.0,34.0,,,,2052.0,2052.0,2052.0,34.0,.,172.3,13434.71875,1.05092012882,2190000128.0,2301515.25
68452,TEGUL-I IC 4,TEGUL,PT KERTAS BEKASI TEGUH,0.879999995232,OPR,1976.0,IC,OIL,.,NONE,N/A,N/A,MAK,6M282AK,KAICK,,,,.,,,,N/A,N/A,N/A,N/A,,,,,N/A,,Bekasi,West Java,INDONESIA,ASIA,ASIA,,PT KERTAS BEKASI TEGUH,A,MFG: PULP & PAPER,1014083,1025976,1152024,,0,400,OIL+.,.,IC,Operating,40.0,1976.0,40.0,,37.0,28.0,23922.5,27263.0,87.7471313477,2024.0,2004.0,2013.0,48.0,OIL+IC,180.0,10349.8068088,0.845786213875,7708800.0,6519.99658203
111395,MIAOLI HOLUNG 2,MIAOLI HOLUNG,HUALON GROUP,600.0,CAN,,ST,ORI,.,,,,,,,,,,.,,,,,,,,,,,,,,Holung,Miaoli County,TAIWAN,ASIA,ASIA,,HUALON GROUP,P,SVCS: PRIV PWR DEV/PROD,1004289,1022558,1132642,,501,700,ORI+.,.,ST,Cancelled,,2004.0,,,4.0,3.0,,,,2008.0,2007.0,2008.0,4.0,.,179.1,9153.44042969,0.744279026985,5256000000.0,3911930.5
111406,TOPPILA 1,TOPPILA,OULUN ENERGIA OY,77.0,OPR,1977.0,ST/S,PEAT,.,OIL,TAMPELLA,ACFB,ZAMECH,BP,GANZ,,83.0,111.0,SUBCR,535.0,,,ESP,,ACFB,N/A,,,,,,,Oulu,North Ostrobothnia,FINLAND,EUROPE,EU,,OULUN ENERGIA OY,U,UTIL: GOVT,1005038,1025082,1153365,,0,400,PEAT+.,.,ST,Operating,39.0,1977.0,39.0,,25.0,30.0,38.5,44.0,87.5,2024.0,2007.0,2002.0,47.0,.,246.5,11199.3164062,1.25332665443,674520000.0,845393.875
